year,site,snow,wind,ta_summer,ta_annual,fac,SSP
2020,VIR102,130.62480000000002,4.123955329003126,-7.664694188,-25.51160405,16.451491926314496,5
2020,VIR623,906.4212000000001,5.171691186856648,-3.906224828,-12.9840967,24.09732658,5
2020,VIR516,722.3562000000001,6.114760359283684,-3.153555019,-15.48302452,22.65602607045718,5
2020,VIR598,683.5157999999999,9.265314467574202,-4.338052849,-14.49032235,18.310715095000003,5
2020,VIR123,127.77119999999998,5.092991318616805,-7.94205525,-24.67689568,14.194604150478309,5
2020,VIR305,196.2822,4.399010892835072,-7.89965738,-27.85401117,17.46309354434546,5
2020,VIR602,602.9712000000002,8.669811356,-3.893372422,-14.19844149,17.116824344999998,5
2020,VIR711,720.2424,9.006467680690186,-5.891713019,-16.10802051,19.210995869999998,5
2020,VIR118,153.37199999999996,5.925196290079805,-7.607954638,-22.7441278,14.08943981172304,5
2020,VIR554,648.5921999999999,5.695153204839592,-3.178109824,-15.21812352,22.168272175729573,5
2020,VIR15,170.35679999999996,6.612366542631143,-5.816005042,-19.09111749,9.474188081155097,5
2020,VIR582,726.1157999999998,7.385043192281548,-4.330836345,-14.94475305,20.142779410000003,5
2020,VIR139,120.2874,4.444199026254922,-8.795361512,-28.72166518,16.474403916478828,5
2020,VIR640,626.5566000000001,7.8350282015290365,-3.115160584,-13.54886143,17.931047824999997,5
2020,VIR481,890.0874,7.036484470178505,-4.205789123,-15.55203171,24.49673329,5
2020,VIR592,688.9439999999998,9.224816450045907,-4.450229072,-14.00687857,17.296699996041358,5
2020,VIR608,291.88980000000004,7.312779238285043,-7.145821837,-23.64234112,17.452583349903172,5
2020,VIR743,765.975,8.101000060693538,-2.9409228,-13.41998581,19.415142829999997,5
2020,VIR565,222.4704,3.332367369166799,-5.441790626,-19.84220764,18.457941012308808,5
2020,VIR588,689.3087999999998,7.994674146869538,-4.0725772,-14.13886652,19.029277440963586,5
2020,VIR527,568.1568,6.1441900463698635,-4.150768851,-15.29991826,18.42267359,5
2020,VIR334,148.15799999999996,5.9457070184905625,-8.701390734,-26.47995279,14.418713692257029,5
2020,VIR720,792.6623999999999,9.074241921689884,-3.22427781,-12.26014732,20.21380456,5
2020,VIR288,215.7036,4.6258048443376225,-6.04190743,-24.65173372,19.11938025589458,5
2020,VIR507,886.7292,7.124394688984234,-4.286639747,-16.35587445,25.583968210000002,5
2020,VIR67,140.91959999999997,6.677923047764712,-8.02796582,-21.62738087,12.945597098988486,5
2020,VIR207,121.32299999999998,4.551892007985063,-8.817349177,-28.30813334,16.076195232396515,5
2020,VIR670,846.1656,6.044404980953264,-1.630496546,-12.33557852,21.735905820000006,5
2020,VIR264,150.6336,4.591612375743773,-5.620038722,-20.19455278,15.326346372824577,5
2020,VIR564,210.2286,4.973325125359748,-6.737485824,-23.93966201,16.927215648903783,5
2020,VIR5,157.30919999999998,8.385291212016877,-6.927255584,-19.09522996,6.7528548170040805,5
2020,VIR356,300.23040000000003,4.938193895995552,-7.890790411,-25.57755658,19.378663591329914,5
2020,VIR593,671.2878,9.445950849819905,-4.433664942,-13.99465686,16.535880923175622,5
2020,VIR752,776.199,5.841160871537158,-0.40515802,-8.242668143,2.3790669087905156,5
2020,VIR641,707.8872,8.203361309192754,-3.623509036,-13.81828192,19.14111839,5
2020,VIR583,832.7075999999997,7.708589766848526,-5.117558077,-14.92627124,22.136852075140418,5
2020,VIR425,614.4179999999999,5.943410134938292,-3.403683077,-15.11999041,19.970643919999997,5
2020,VIR517,706.7063999999999,5.790989219172096,-2.799802513,-14.80591403,22.456241920000004,5
2020,VIR327,191.6832,3.7875373392172955,-5.223995853,-20.52787557,16.488553486365156,5
2020,VIR215,151.6026,4.153713495042993,-7.948729957,-27.96451186,17.951105015479406,5
2020,VIR712,683.7960000000002,8.817454533917758,-6.25049622,-16.69863214,18.72837582,5
2020,VIR365,216.88019999999997,4.732780920599609,-7.073854252,-27.01808171,17.874752276354005,5
2020,VIR695,694.251,6.473005359239542,-1.11078218,-11.39237586,17.74099996,5
2020,VIR662,665.5326,9.307786785250808,-8.23053432,-21.14391327,24.09443485,5
2020,VIR581,684.9162,7.168856037682962,-3.545477787,-14.18111721,19.75067851,5
2020,VIR257,165.38820000000004,4.064433053370588,-6.403302773,-23.80749195,16.896253491956006,5
2020,VIR591,699.6384,8.844050903,-4.221553961,-13.85646661,17.494527934999997,5
2020,VIR172,124.83480000000002,3.5562516779004896,-7.468399165,-26.96533309,17.47223319240308,5
2020,VIR266,148.53,6.056832809713614,-8.504032691,-24.45799448,13.78378746039271,5
2020,VIR454,728.9448,7.686112376847289,-4.27767166,-16.95458475,22.474312105000003,5
2020,VIR92,103.4682,4.271518534151703,-8.776521922,-28.71963006,15.839889506014732,5
2020,VIR611,577.1933999999999,6.528537898701378,-7.293354611,-19.8415193,22.73705167,5
2020,VIR224,166.9572,3.746935704022989,-6.58551659,-24.97020118,18.459491094023427,5
2020,VIR723,986.0322,8.303744277702739,-3.855563203,-13.3291132,23.725068299999997,5
2020,VIR505,801.0474,6.7145665824681755,-4.184973099,-16.25460836,23.997354777898696,5
2020,VIR416,238.8312,5.1150920213376425,-5.913898772,-24.62679951,19.07923564882121,5
