rgiid,name,x,y,surge,bed_elev,thickness,surface_elev,width,runoff,bed_slope,surface_slope,driving_stress,WH,cmb
RGI60-07.00093,Aurkollfonna,523535.2759468396,8593364.549574854,1,592.7485352,16.251434326171875,608.9999694824219,119.7280733061626,1.5446638255924876,,,,0.1357362051973769,0.8165282178788072
RGI60-07.00093,Aurkollfonna,523500.8625899817,8593328.972138157,1,592.7485352,16.251434326171875,608.9999694824219,128.25105058654532,1.5323697165933865,,,,0.1267157988324252,0.8125990525895356
RGI60-07.00093,Aurkollfonna,523466.4492330767,8593293.395,1,547.2321777,26.76783561706543,574.0000133514404,199.01448870207875,1.5213593053168732,42.60049510472104,35.26417374034618,-5232.329507,0.1345019440124101,0.6066262023802036
RGI60-07.00093,Aurkollfonna,523467.03127154027,8593258.399307119,1,547.2321777,26.76783561706543,574.0000133514404,268.4958196895884,1.539439340648547,42.60049510472104,35.26417374034618,-7059.076999,0.09969554,0.6077091170163319
RGI60-07.00093,Aurkollfonna,523432.6179138538,8593222.822,1,547.2321777,26.76783561706543,574.0000133514404,425.33011358127663,1.5550319602379692,42.60049510472104,35.26417374034618,-11182.43861,0.062934259,0.6070687905674393
RGI60-07.00093,Aurkollfonna,523433.19995087193,8593187.826478858,1,518.3959961,28.603992462158203,546.9999885559082,382.8383905,1.5752259203848569,39.48461070220654,37.64746009793252,10699.276189060156,0.07471558,0.4505324188981369
RGI60-07.00093,Aurkollfonna,523398.78659240407,8593152.249047797,1,518.3959961,28.603992462158203,546.9999885559082,510.7354963,1.5908185386523075,39.48461070220654,37.64746009793252,14273.647237073848,0.056005491,0.4500580600301352
RGI60-07.00093,Aurkollfonna,523399.36862797686,8593117.253653362,1,518.3959961,28.603992462158203,546.9999885559082,484.6670403935883,1.6110124982174658,39.48461070220654,37.64746009793252,13545.105856530528,0.059017821,0.4508692182300128
RGI60-07.00093,Aurkollfonna,523399.9506628386,8593082.258,1,493.4298706054688,29.57012367248535,522.9999942779541,461.2194371608225,1.6312064576919671,35.50076059396402,34.438804085570446,-11039.74743,0.064112917,0.3112067777894275
RGI60-07.00093,Aurkollfonna,523365.5373028548,8593046.680830646,1,484.2839965820313,29.715999603271484,513.9999961853027,409.94067842099054,1.6467990741388463,10.46865981850497,10.305291414809382,-10529.49219,0.072488536,0.2582576671358918
RGI60-07.00093,Aurkollfonna,523366.1193362711,8593011.685436862,1,484.2839965820313,29.715999603271484,513.9999961853027,411.3937900658847,1.6669930330262497,10.46865981850497,10.305291414809382,-10566.81595,0.072232494,0.2587219512806925
RGI60-07.00093,Aurkollfonna,523331.7059755059,8592976.108010706,1,459.4690246582031,31.530981063842773,491.0000057220459,373.0472691125894,1.6825856481511487,26.626201230470304,24.922732604960377,11727.388557528107,0.08452275,0.1238709320575448
RGI60-07.00093,Aurkollfonna,523332.2880074766,8592941.113,1,459.4690246582031,31.530981063842773,491.0000057220459,377.8586581247972,1.702779606455727,26.626201230470304,24.922732604960377,11878.64292425168,0.083446496,0.1240934555888384
RGI60-07.00093,Aurkollfonna,523332.87003873626,8592906.117224429,1,435.7751770019531,34.224815368652344,469.9999923706055,386.26299966178186,1.7229735646750015,34.096529722808256,30.96360440855377,5880.614205854067,0.088604954,0.00099743
RGI60-07.00093,Aurkollfonna,523298.45667645504,8592870.539801076,1,435.7751770019531,34.224815368652344,469.9999923706055,439.3571414809194,1.7385661779750308,34.096529722808256,30.96360440855377,6688.939530574896,0.077897483,0.000996386
RGI60-07.00093,Aurkollfonna,523299.03870626906,8592835.544408591,1,435.7751770019531,34.224815368652344,469.9999923706055,470.00620780392336,1.758760135607182,34.096529722808256,30.96360440855377,7155.552524760301,0.072817794,0.000998172
RGI60-07.00093,Aurkollfonna,523299.62073537207,8592800.549016077,1,412.8970947265625,37.10292053222656,450.00001525878906,510.20250665129424,1.7789540931561785,33.17084498996295,29.744689299195382,18610.03590966439,0.072721949,-0.116743585
RGI60-07.00093,Aurkollfonna,523300.20276376384,8592765.553623546,1,412.8970947265625,37.10292053222656,450.00001525878906,549.7713459146031,1.799148050614494,33.17084498996295,29.744689299195382,20053.340303496403,0.067487913,-0.116952026
RGI60-07.00093,Aurkollfonna,523265.7894,8592729.976203676,1,414.4177856445313,36.58221435546875,451,581.0050762,1.814740661595328,-1.759709921,-1.157366777,-20876.31073,0.062963674,-0.110938673
RGI60-07.00093,Aurkollfonna,523231.3760346533,8592694.399,1,394.6400146484375,39.359981536865234,433.99999618530273,588.8901809273035,1.830333272,21.780101908302377,18.95501738584428,4855.555620414342,0.066837558,-0.210874768
RGI60-07.00093,Aurkollfonna,523231.9580608648,8592659.403394047,1,394.6400146484375,39.359981536865234,433.99999618530273,610.9251308840587,1.850527228127506,21.780101908302377,18.95501738584428,5037.239622921559,0.06442685,-0.211251391
RGI60-07.00093,Aurkollfonna,523197.5446955047,8592623.825977713,1,394.6400146484375,39.359981536865234,433.99999618530273,581.6769915031884,1.866119836959776,21.780101908302377,18.95501738584428,4796.080961838402,0.067666389,-0.211031145
RGI60-07.00093,Aurkollfonna,523198.1267202703,8592588.830587197,1,379.1594543457031,40.840553283691406,420.0000076293945,583.6879416173848,1.8863137927484075,23.859749762188173,21.80126342250095,-22788.85264,0.069969842,-0.294011577
RGI60-07.00093,Aurkollfonna,523163.7133541289,8592553.253,1,394.0513916015625,36.94859313964844,430.9999847412109,548.1433097031301,1.8735930001191543,-16.74447042,-12.52932182,17430.462781339767,0.067406812,-0.229310875
