crevasse,stress
1,159303.93514253918
1,154158.6318344878
1,151321.95064838076
1,152317.04032022902
1,156801.00386697147
1,163040.48735248265
1,169125.87642072947
1,173845.67227830715
1,176732.13444550187
1,177889.3092
1,177495.44836844853
1,175754.90528585244
1,173021.28721706924
1,169739.25228202145
1,166490.21106365608
1,164199.02818635097
1,163999.2519573444
1,166463.3475002679
1,171272.9921412043
1,177650.13810498826
1,184544.32452407104
1,191354.48455223022
1,197680.68946549355
1,203125.6561310775
1,207263.49768217703
1,209969.09239984822
1,211078.4794166145
1,210517.6652833238
1,208450.01382112643
1,204832.25349799427
1,199895.35556339103
1,193968.1633
1,106898.50807698148
1,107894.03739098918
1,108906.08144209674
1,159692.02756087473
1,153936.6244102459
1,151203.90504962247
1,153276.82530299068
1,158936.08922254457
1,165792.4414338955
1,172034.47026369994
1,176560.3886738915
1,178921.71678445317
1,179349.59962849875
1,178180.9517434386
1,175649.29888787147
1,172162.57874048996
1,168210.77230952002
1,164431.84319706823
1,161690.13559996625
1,161103.22770626622
1,162991.89965008048
1,167276.69649539632
1,173015.44501091473
1,179365.93979839975
1,185888.0681836923
1,192220.27643861098
1,197886.54951914173
1,202863.19007229383
1,206556.4255821558
1,208916.7998072851
1,209760.09621014472
1,209255.18289828737
1,207207.1385122406
1,203889.1570242994
1,199232.10777565098
1,193612.57896776433
1,118804.92678627066
1,116970.25043567634
1,116031.3779785491
1,115849.85734594835
1,160110.26656567334
1,153581.60968519832
1,150833.9585
1,153490.3231433886
1,159973.36221991017
1,167379.70729589506
1,173945.1893093441
1,178367.40356619892
1,180424.82063212074
1,180402.51070594523
1,178700.52357205146
1,175517.9004283461
1,171415.59334940618
1,166871.15839995092
1,162465.6981535881
1,159199.23380172014
1,157868.6635664208
1,158871.76428513005
1,161903.91929959413
1,166363.38129494237
1,171403.73648490835
1,177080.14011461523
1,183268.6895127501
1,189303.0807654588
1,194865.1675725569
1,199688.7269169915
1,203494.39509636132
1,206029.1426
1,207252.53652489022
1,206975.33740921033
1,205345.23911322976
1,202503.3877771232
1,198385.18106558223
1,193256.1099
1,187197.5696086021
1,143808.72124181298
1,137960.63491543676
1,133327.7304587338
1,129866.79632536735
1,127686.75135799032
1,126225.96302716622
1,153541.00484455773
1,150480.89990819432
1,153494.89867400966
1,160386.9105834669
1,168303.49283183014
1,174952.27723356467
1,179397.38463539706
1,181309.82073838316
1,181029.0558463227
1,178931.85126155234
1,175316.77110111248
1,170685.60003399418
1,165631.20609097093
1,160516.6150098454
1,156460.71646549707
1,154045.8117908087
1,153557.11907239465
1,154835.5949276154
1,157287.77206544002
1,160598.04367196068
1,164901.03247498107
1,170296.97726963472
1,176584.41849149135
1,183095.7518
1,189394.2594029471
1,194988.39712333938
1,199418.97359762873
1,202569.5554673956
1,204209.38636976609
1,204438.69791110914
1,203310.19319123068
1,200933.16868290745
1,197345.8122322489
1,192737.22095293814
1,187068.8962392343
1,180621.02941409155
1,173851.5829143641
1,166959.5042655623
1,159768.49310433975
1,153122.44719860962
1,147293.29040089677
1,142515.37400953114
1,138755.56345244098
1,136196.8519713458
1,134264.20417206048
1,153401.1397862114
1,150044.5532806632
1,153074.9117850336
1,160203.93029385575
1,168391.33807570708
1,175211.9297595621
1,179754.8703244928
1,181701.9154181743
1,181329.0291025639
1,179041.3527610388
1,175110.56481771293
1,170045.46658075158
1,164336.27340145558
1,158544.28202663796
1,153378.9140424345
1,149542.9168838783
1,147065.70781200737
1,145849.36726018105
1,145406.82759230578
1,145764.28254209564
1,147918.93427904893
1,152518.15874274238
1,159552.5617099535
1,167763.3670924954
1,176203.86908375847
1,183969.2658045908
1,190489.7374464727
1,195605.3325739444
1,199118.79291743223
1,201149.6798008513
1,201792.74836538764
1,201114.2431839079
1,199098.39882596882
1,195821.40699906644
1,191495.42132219704
1,186079.17109054397
1,180103.6107206507
1,173619.81475587538
1,167073.86925961476
1,160449.59683820503
1,154554.61471339487
1,149528.5656836176
1,145393.53885265932
1,142359.83332638754
1,139926.1411987104
1,138033.88032435617
1,152867.62520676796
1,149275.48031234587
1,152190.20157084707
1,159390.88097050076
1,167627.35113167146
1,174793.2683502316
1,179476.68159059942
1,181683.26777853316
1,181420.3351777975
1,179162.1856242711
1,175060.55089357484
1,169747.8539281314
1,163434.1521730987
1,156781.89006207723
1,150306.18114628378
1,144555.08183117406
1,139481.75587529637
1,134858.60559151412
1,130079.11315759872
1,125379.07220974131
1,123932.0753094888
1,128332.91374876576
1,138714.42050555607
1,150533.1895755031
1,162017.85124238295
1,171936.1774910056
1,180536.13754950147
1,187265.16743999728
1,192315.91346126504
1,195898.33389528058
1,198144.74190311015
1,199063.64463612615
1,198606.6855461579
1,196754.91453274662
1,193662.5007374591
1,189296.1241931303
1,184129.71272667978
1,178233.50926047165
1,172012.55327938174
1,165498.91033838113
1,159493.17343939294
1,154146.07553713664
1,149541.95500385502
1,145977.99231692278
1,143105.59274033713
1,140854.40197055673
1,138721.8312112665
1,136823.2531
1,135313.54031542895
1,135990.22131211264
1,137552.5917003127
1,138798.34467295904
1,139125.60887866767
1,173691.81927182403
1,151904.7576974286
1,148207.5873945528
1,150903.8698609469
1,158182.55057635115
1,166403.95869374764
1,173817.0793461027
1,178883.56116745627
1,181309.5565070424
1,181347.5149836547
1,179226.67655291426
1,175190.58315886976
1,169632.6862032069
1,163057.7848455933
1,155554.53096685614
1,147470.94676059156
1,139412.87069868587
1,131379.2746673587
1,122339.69079356549
1,111037.73640896872
1,95862.74661
1,87960.42006560092
1,139572.57596947814
1,152685.49558369262
1,163215.68558665895
1,172099.36982420733
1,179210.96100421078
1,184907.6898703974
1,189341.4150948859
1,192926.53743029528
1,195260.15574617565
1,196219.46514346142
1,195761.98639264252
1,193869.2915291517
1,190530.4784668404
1,186140.50195732422
1,180759.4952163241
1,174693.8916883531
1,168340.58491335405
1,162226.74772711203
1,156357.4382
1,151230.0439626524
1,147142.35394747613
1,143834.12917077643
1,141266.20749557775
1,139149.2988280615
1,137519.1650309935
1,136518.29489225417
1,136078.21512374736
1,136494.90727793853
1,137476.54875583685
1,139070.94623820935
1,140460.6903985406
1,141319.4384553776
1,141217.76821919167
1,139673.64422557456
1,136560.07954836937
1,171465.0637468124
1,150506.6495977126
1,146880.25230926502
1,149341.88912342087
1,156508.7156598796
1,164842.01704517155
1,172523.5483639749
1,177945.16794164944
1,180788.46117551616
1,181223.48827949254
1,179401.12572204883
1,175535.5416
1,169953.03451581832
1,162950.65920420186
1,154829.8026505019
1,145339.77843824614
1,135113.48763431684
1,123932.4672190836
1,110951.9439865145
1,94833.53433
1,83115.16923978792
1,154563.70963218593
1,161954.5466528797
1,168182.0790133387
1,173346.30616231504
1,178111.02045831387
1,182585.6718753971
1,186788.4542619489
1,190185.48658317508
1,192435.28203657782
1,193185.4403299543
1,192457.5553286836
1,190056.7470189518
1,186382.8736434703
1,181490.8995539734
1,175667.71536325698
1,169292.67009296332
1,162794.37127541887
1,156555.15939551225
1,150838.33827612505
1,146243.57024761144
1,142416.32808510732
1,139676.42928523556
1,137656.57178950575
1,136405.2287274497
1,135982.39533524407
1,140583.96521977728
1,142007.97371696835
1,142877.13478372735
1,142795.57634897338
1,141381.84868645557
1,138600.18048433083
1,134163.10987847275
1,128086.15357023304
1,173545.7120819985
1,171432.98700441336
1,170905.4871316019
1,148487.62451383405
1,145014.98752531715
1,147430.71586014237
1,154440.99307396903
1,163092.87836751598
1,171073.98263445753
1,176926.65640080237
1,180299.14009466808
1,181162.3103716633
1,179739.0342068175
1,176218.3348078662
1,170691.7798226085
1,163556.51925132485
1,154801.8324
1,144449.69800755547
1,132584.07851268933
1,119631.28219281998
1,106983.95672680643
1,101855.33319600658
1,168975.5926087981
1,170918.63252184557
1,173238.49249342055
1,176436.1726561787
1,180364.39498889292
1,184352.40932252473
1,187587.8279983665
1,189424.9739073118
1,189705.4732
1,188227.2970164685
1,185217.95591612245
1,180786.57877270563
1,175183.78800361184
1,168903.47898707644
1,162037.0490092106
1,155328.28190799014
1,139555.61525597313
1,134697.9382656525
1,133806.74918171368
1,133937.8069923286
1,141861.86017547347
1,142897.52265546122
1,143041.85973396117
1,141997.9526941333
1,139796.5647808027
1,136097.38628904775
1,131047.64743725033
1,124625.72467583754
1,117099.93489970613
1,177531.46430596604
1,174076.1918056438
1,171919.38660432558
1,145825.95628849283
1,142723.70071485604
1,145371.49896426898
1,152562.41648763703
1,161417.23744105408
1,169575.0847764375
1,175980.7847300457
1,179863.0086814948
1,181234.7041001309
1,180272.31544159015
1,177085.20786712188
1,171877.94427032906
1,164800.5200757207
1,155830.0732749695
1,144994.58068036143
1,132550.92852794562
1,120002.81876945718
1,112380.30162604252
1,170655.61464675248
1,170022.1602570796
1,171120.78136059752
1,174162.71644501234
1,178304.44964909065
1,182153.96375951084
1,184969.8906
1,186176.5202870543
1,185467.79173010474
1,183148.73603509244
1,179143.42562576203
1,173803.77745816187
1,167479.06827070937
1,160547.0051785734
1,153453.46835238356
1,130416.1305955998
1,130906.04442350173
1,141399.0033739344
1,141791.36429000675
1,141060.1564984274
1,139302.07798707916
1,136325.11087826962
1,132044.1556415184
1,126595.99591644183
1,120208.05826715207
1,182988.63050661734
1,178670.38601356628
1,142656.87621473306
1,140237.72639836033
1,143469.61138750636
1,151107.17497693855
1,160027.18834300528
1,168571.1863270361
1,175227.78500492265
1,179602.0139018846
1,181464.39887893983
1,181014.07009273654
1,178326.95384316027
1,173434.9444321995
1,166592.7525567231
1,157696.5000260756
1,146848.39900812178
1,134738.48106433716
1,124097.46946541932
1,121082.61137800736
1,171137.3790073951
1,167920.8036977894
1,166710.76500658266
1,168507.7326133662
1,172446.1169139398
1,176744.02407937826
1,180224.19205173355
1,182285.47739911568
1,182297.56982399532
1,180553.57352858584
1,177067.80435137128
1,172096.94958534878
1,165932.37798279425
1,159008.23313880555
1,129620.80172719709
1,127118.74743259062
1,127774.53575946658
1,139336.7825121754
1,138782.95159127977
1,137271.6967982548
1,134651.42249314915
1,130941.70233958983
1,126181.7166508445
1,120690.19074932259
1,188455.06204646884
1,171767.44337898013
1,167738.09775217713
1,137931.80096098612
1,142072.40904086136
1,150067.1917978534
1,159231.53057492097
1,167772.62870295657
1,174716.99731395274
1,179514.97099368635
1,181874.75195495316
1,181918.02059961972
1,179649.3642
1,175231.4936812048
1,168711.5014302655
1,160244.84133772374
1,149598.41500914493
1,138489.53787567126
1,130158.65789950588
1,129966.45031836352
1,165886.61134597432
1,162838.31202214386
1,163360.39508473623
1,166956.1685823691
1,171670.4813
1,175685.18806728694
1,178324.26311037716
1,178989.92003921184
1,177851.86033860405
1,174895.7607552638
1,170375.02020058403
1,164562.54152939288
1,157862.9585397311
1,127698.20387821646
1,125638.89157017878
1,125102.41438853274
1,125748.8835170572
1,127070.37270367342
1,129049.70126323192
1,136662.97530697435
1,136085.88765996415
1,134564.37438002284
1,132041.65931486292
1,128565.76509005229
1,124300.7668024765
1,119445.5533948939
1,114456.0414906545
1,197292.25637260766
1,193144.05317115536
1,179057.66173737816
1,173925.41274781336
1,168281.84634266753
1,162006.34747527688
1,141811.45280828705
1,149882.37615453673
1,158738.54023507403
1,167312.93862136995
1,174381.32260908213
1,179416.50345262155
1,182243.02943570114
1,182756.4942
1,180971.60436574536
1,177065.46285754244
1,170979.17176313378
1,162641.33525436118
1,152776.69532687997
1,142922.04778325654
1,136665.1010160641
1,137886.5852187433
1,162682.01161266115
1,158493.85228745049
1,158285.66534044474
1,161806.7793523476
1,166796.89479671544
1,171294.47211478942
1,174474.32271277037
1,175699.8510017711
1,175134.96134356293
1,172780.41851670627
1,168799.28334223572
1,163491.1917805884
1,157226.20097639412
1,125683.96732346476
1,125084.37699141067
1,125591.89229529457
1,126765.7003850427
1,128547.96711241918
1,130512.69256868017
1,134890.41235237825
1,134098.6348383495
1,132346.96878783897
1,117189.13548968169
1,112872.65284703097
1,200056.44116851085
1,196587.1179
1,187874.14005907657
1,182558.71968646505
1,176765.51634222287
1,169992.40433303043
1,162641.89947168872
1,155061.0157321432
1,138002.88318468895
1,142993.10481072878
1,150552.03095552244
1,159005.4814914591
1,167127.97080992634
1,174059.5438455915
1,179466.30996689474
1,182576.76852556513
1,183531.95438415476
1,182198.8874553775
1,178682.22168134237
1,172996.4980899451
1,165255.73403710112
1,156132.51886496786
1,147662.3809584263
1,142669.27971783566
1,144249.14032462245
1,157717.39929225136
1,153164.21087242579
1,153035.78656444236
1,156924.27336751093
1,162270.9743305835
1,167292.0210518503
1,170850.58255783244
1,172615.2895828167
1,172572.80376961044
1,170774.55860528376
1,167461.45933035304
1,162799.09772168705
1,157136.24000320648
1,150744.96090558387
1,126733.3808801383
1,127056.09876871284
1,128036.7823821936
1,129605.42875563375
1,131333.22106918445
1,132917.11915431474
1,133730.94991049048
1,131636.61716102346
1,111210.09986277667
1,107754.33268299035
1,201322.7162155678
1,194978.84934290082
1,190669.12580903483
1,185551.2561616123
1,179633.03797245145
1,172570.45160086095
1,164943.1586541268
1,157126.05908029122
1,149847.5838278625
1,143737.44634251064
1,140382.08316255262
1,141067.3150181462
1,145299.41087734723
1,151732.68754663024
1,159385.69133189166
1,166992.24190523135
1,173846.8456
1,179274.14339414515
1,182678.36395114445
1,184062.67338392345
1,183236.39354953842
1,180185.90369132903
1,175028.8205164849
1,167883.60680529493
1,159596.00633175834
1,152048.21912810003
1,147967.15979424294
1,149236.7125545734
1,151178.6570448938
1,146928.20062882642
1,147545.7864754079
1,152371.04466198263
1,158412.10095746064
1,163744.0847736958
1,167754.6074725622
1,169863.27911459064
1,170308.72469480155
1,169099.40186539324
1,166409.8047374056
1,162413.8251606209
1,157430.58130503682
1,151686.42838811825
1,145594.8538244921
1,129109.0770273854
1,129279.81028514706
1,130180.25910605432
1,131654.45673109015
1,133290.01512354333
1,134741.64524975573
1,135907.3655556305
1,136517.03158566155
1,135096.34658781622
1,106511.92952599683
1,201128.3442649959
1,199062.03046695693
1,196175.47494706028
1,192477.15347732697
1,187836.9993523198
1,182191.72273533457
1,175642.14267849116
1,168498.16961496323
1,161259.35181575513
1,154446.58377358815
1,148828.80493573894
1,145601.36627918668
1,145551.09340193155
1,148465.9135861539
1,153598.99935739907
1,159905.1354680451
1,166763.09539332683
1,173396.38198218815
1,178827.21462957465
1,182554.4770220297
1,184293.09100830325
1,183945.40738683895
1,181469.01469726212
1,176878.41574753428
1,170539.37128708974
1,162928.83644176307
1,156181.62174350806
1,152381.78027660277
1,152867.0401625215
1,157045.83640771225
1,143474.66782026814
1,140137.90745573895
1,142270.43033227389
1,148169.69292412733
1,154813.64783061028
1,160528.90229235668
1,164860.42518317557
1,167340.15602090475
1,168254.10297744747
1,167553.79534099638
1,165490.74794408202
1,162149.6970312705
1,157816.48339173457
1,152712.47231555785
1,147133.9454714488
1,131413.17356699135
1,132337.60262796606
1,133848.91604975518
1,135546.06744063628
1,137077.47165194727
1,138301.17125043258
1,138935.61408275712
1,138661.59985972493
1,137424.99396073868
1,134829.60516862568
1,199592.3554830122
1,198192.71130952198
1,196020.64286398058
1,193036.1525678684
1,189125.42097995474
1,184228.1733712089
1,178531.70760845332
1,172349.98653017828
1,166239.2110878328
1,160163.9408684638
1,154988.7999363339
1,151526.48286405558
1,150517.5251529824
1,151883.8807473144
1,155452.6540111807
1,160574.24503274952
