year,site,snow,wind,ta_summer,ta_annual,fac,SSP
2025,VIR619,840.4716000000001,5.753676768830447,-1.43242372,-10.03160193,20.570767759999995,5
2025,VIR621,983.5596000000002,4.980168649138374,-2.076488445,-10.89968864,22.661197991651303,5
2025,VIR440,507.1463999999999,6.931505486695977,-4.578298419,-15.92731242,18.059327374296675,5
2025,VIR716,813.3900000000001,7.479753197997778,-3.350336475,-12.69680809,21.318168789999998,5
2025,VIR513,983.9664000000001,8.408657056120557,-3.939699106,-15.79190801,25.906525445000007,5
2025,VIR494,420.0612000000001,5.5541752018336075,-3.342258828,-16.21167976,17.665988903274126,5
2025,VIR469,457.23,6.350963498353551,-3.950010666,-14.51618451,16.33974016589715,5
2025,VIR715,873.3330000000005,7.546747492805058,-3.803628621,-13.56626789,21.921592659999995,5
2025,VIR512,1022.2734000000005,8.363347458375268,-4.150614428,-16.05132805,26.708179059999992,5
2026,VIR466,479.3994,5.933523083960132,-3.687061176,-15.69092389,18.151999594045535,5
2026,VIR575,709.044,5.306170023571164,-2.13641189,-11.42858717,20.84746562,5
2026,VIR619,825.2406000000001,5.7065383958366445,-1.287975714,-9.881395407,20.438927734999993,5
2026,VIR621,951.9216000000002,4.937979976649541,-1.980588988,-10.84183702,22.658994416651304,5
2026,VIR440,512.4264,6.932237407745821,-4.42232419,-15.7706561,18.05342141465956,5
2026,VIR716,804.9552000000001,7.529095992902168,-3.230137961,-12.55416577,21.305240214999998,5
2026,VIR513,958.8294000000001,8.503934270551936,-3.958353812,-15.70814091,25.878186120000006,5
2026,VIR494,422.43900000000014,5.574098661210869,-3.143810841,-15.99202321,17.672101997704523,5
2026,VIR469,454.1838000000001,6.346666827228667,-3.790065009,-14.36820388,16.33033603983562,5
2026,VIR715,866.2248000000005,7.586895439928847,-3.690210806,-13.42981074,21.898358509999994,5
2026,VIR512,996.5094000000005,8.458294995431432,-4.168654798,-15.98624603,26.722598684999994,5
2027,VIR466,474.237,5.901152324,-3.578672735,-15.57414445,18.181853079855838,5
2027,VIR575,703.89,5.339854307365328,-2.057062907,-11.4399427,20.812864164999997,5
2027,VIR619,828.3450000000001,5.748570574,-1.196213425,-9.857437559,20.265831884999997,5
2027,VIR621,946.9398000000003,4.970208679,-1.943924337,-10.86591977,22.569212341651305,5
2027,VIR440,510.7229999999999,6.904965246,-4.341849631,-15.68011709,18.04016281501468,5
2027,VIR716,799.7196000000001,7.459509619374263,-3.156575749,-12.61761887,21.276818314999996,5
2027,VIR513,999.8814000000001,8.531612265943641,-3.782027776,-15.69340148,25.893854945000005,5
2027,VIR494,420.90060000000017,5.585625494928227,-3.043469924,-15.83832235,17.677671111811488,5
2027,VIR469,445.42200000000014,6.2943266454570335,-3.673101492,-14.2714136,16.312645405656934,5
2027,VIR715,857.1924000000005,7.526456163815176,-3.590804412,-13.49415925,21.87295166,5
2027,VIR512,1038.3954000000006,8.480393193716123,-3.986482467,-15.98384884,26.75933558499999,5
2028,VIR466,483.1344,5.973790919584371,-3.541372868,-15.46954419,18.215736828446293,5
2028,VIR575,728.031,5.327081761,-2.112391788,-11.54869271,20.89598166,5
2028,VIR619,850.9794000000002,5.732588395726292,-1.23422721,-9.962796052,20.037649664999996,5
2028,VIR621,977.0070000000004,4.952680693495419,-1.984980468,-10.9365538,22.566955746651303,5
2028,VIR440,524.1755999999999,6.9853418850530575,-4.280171248,-15.57370727,18.046375375000004,5
2028,VIR716,787.5024000000002,7.4339283192745045,-3.130348191,-12.59081763,21.191004319999994,5
2028,VIR513,982.7274000000002,8.458502516023094,-3.868196074,-15.80121286,25.922750295000004,5
2028,VIR494,433.23780000000016,5.633990689059272,-3.024797275,-15.75055927,17.72824526621747,5
2028,VIR469,444.0738000000001,6.350082815,-3.614815625,-14.18209138,16.291604438918792,5
2028,VIR715,844.9962000000004,7.4932442252855935,-3.547338849,-13.46284042,21.819070274999998,5
2028,VIR512,1022.5446000000006,8.408130752644032,-4.055993366,-16.08280615,26.733351484999993,5
2029,VIR466,458.4552,5.881978323578227,-3.437824481,-15.48146539,18.207660126423942,5
2029,VIR575,751.1934,5.3491101151853035,-2.041634875,-11.28716994,20.99317928,5
2029,VIR619,871.8708000000003,5.765201362956194,-1.173962233,-9.680516763,19.886326184999998,5
2029,VIR621,1010.5488000000004,4.977778811774989,-1.91482753,-10.68849106,22.58881827,5
2029,VIR440,501.67019999999985,6.9049625807775845,-4.168621613,-15.59205104,18.04610342,5
2029,VIR716,786.1626000000001,7.436914830411218,-3.108748153,-12.51288713,21.156037719999997,5
2029,VIR513,997.3728000000001,8.427343177825449,-3.752320114,-15.59485476,25.934448415000006,5
2029,VIR494,414.89700000000016,5.549984608670127,-2.931813404,-15.77735992,17.747658203210534,5
2029,VIR469,427.0278000000001,6.263189461504847,-3.472657023,-14.13262554,16.250653579186373,5
2029,VIR715,844.8396000000002,7.492080918833981,-3.524523661,-13.38383947,21.75970464,5
2029,VIR512,1039.6092000000006,8.380915746883664,-3.928151008,-15.85933292,26.773367544999992,5
2030,VIR466,462.5946,5.906169062957961,-3.5892423,-15.40370128,18.19824481245903,5
2030,VIR575,768.4704,5.356721091667109,-1.9181061,-11.13154573,21.057507864999998,5
2030,VIR619,890.2050000000004,5.773012468660063,-1.043464057,-9.46953592,19.747907134999995,5
2030,VIR621,1029.8622000000003,4.971503159926375,-1.778656983,-10.48629467,22.633053627974775,5
2030,VIR440,509.72699999999986,6.938093299,-4.315170378,-15.51143458,18.062777625000003,5
2030,VIR716,816.7146000000001,7.531393184336213,-2.901440109,-12.28988633,21.103361059999997,5
2030,VIR513,1019.3820000000001,8.431054087875415,-3.676459346,-15.46694905,25.994169785000004,5
2030,VIR494,420.83580000000023,5.589306431749563,-2.944410234,-15.58430856,17.74233003797929,5
2030,VIR469,429.13080000000014,6.271117988240903,-3.631777706,-14.08586257,16.219608265475138,5
2030,VIR715,876.4272000000003,7.566920009,-3.344810202,-13.16463993,21.74997011,5
2030,VIR512,1062.2700000000007,8.382240268066813,-3.838490965,-15.72739825,26.86285556499999,5
2031,VIR466,476.42460000000005,5.967279662036302,-3.582452745,-15.22758277,18.199601320973024,5
2031,VIR575,772.6590000000001,5.358176544816111,-1.946948938,-11.19634032,21.068120083761254,5
2031,VIR619,889.7616000000004,5.761904557753765,-1.083253708,-9.524498832,19.646110499999992,5
2031,VIR621,1031.0352000000003,4.966002439880292,-1.814118197,-10.55112479,22.685949235000006,5
2031,VIR440,522.7739999999999,7.000726299724562,-4.305585028,-15.35657895,18.093632330000002,5
2031,VIR716,815.0382000000001,7.5968851038190595,-2.806915051,-12.12995269,21.042517329999995,5
2031,VIR513,1013.5500000000001,8.361295479324468,-3.601957042,-15.40393902,26.024413780000003,5
2031,VIR494,432.9798000000002,5.657701945062415,-2.924277074,-15.41909723,17.764240793315107,5
2031,VIR469,442.4544000000001,6.328553344103678,-3.606224711,-13.92144279,16.205752043079645,5
2031,VIR715,876.5742000000002,7.618369622000639,-3.258380959,-13.01269084,21.73470595,5
2031,VIR512,1056.7356000000007,8.310466874569629,-3.782792137,-15.67494663,26.886292979999993,5
2032,VIR466,482.5398,6.014997829930081,-3.438646264,-15.09204894,18.218878294310752,5
2032,VIR575,768.3516000000001,5.341631274056713,-2.004471768,-11.36180376,21.03085514927298,5
2032,VIR619,885.8118000000004,5.746022778837156,-1.130699524,-9.680912175,19.49306499999999,5
2032,VIR621,1027.8552000000004,4.945781781344351,-1.859788876,-10.69319517,22.644352960000006,5
2032,VIR440,530.5655999999999,7.042657691747445,-4.224061467,-15.26797534,18.132897805000002,5
2032,VIR716,804.1134000000001,7.546002395187776,-2.776423692,-12.14223799,20.964539229999996,5
2032,VIR513,1010.8566000000001,8.298489912733723,-3.636722138,-15.51220072,26.038942830000003,5
2032,VIR494,439.14480000000015,5.735730707730813,-2.801934693,-15.28475981,17.84073049457505,5
2032,VIR469,448.1544000000001,6.387193894340272,-3.479611622,-13.76485957,16.201755829478568,5
2032,VIR715,860.5848000000002,7.570271419853632,-3.220737599,-13.03147501,21.69444092,5
2032,VIR512,1055.8398000000004,8.246195860259197,-3.811599237,-15.77331697,26.89884200499999,5
2033,VIR466,473.2092,5.946881598,-3.413258687,-15.23615971,18.24379494490415,5
2033,VIR575,782.1996000000001,5.380770082940481,-2.013354544,-11.16988203,21.067243223058114,5
